scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
50HzT- P180,29315,,,,AC,,,,,,,,,1,2030.0,40,,,6.0,,,,,,,,,,Umspannwerk Marzahn,,,,8.735135796743075 50.159191553758134,Umspannwerk Teufelsbruch,,8.735135796743075 50.159191553758134,21.77882628,380,,Errichtung einer Lei- tung: Ersatzneubau,13.211527686000428 52.58062783766221,13.211527686000428 52.58062783766221,,,Umspannwerk Zell
50HzT- P180,29316,31678.0,32172.0,,AC,,,,,,,,,1,2030.0,40,,319.67287874926046,6.0,,,,,,,,,,Friedrichshain,Friedrichshain,100.0,50.0,13.456433133865078 52.52145796286808,Mitte,Rendsburg Mitte,9.691483676270511 54.30880075556864,319.6728787,380,,Errichtung einer Lei- tung: Ersatzneubau,9.691483676270511 54.30880075556864,9.691483676270511 54.30880075556864,,,Rendsburg Mitte
50HzT- P180,29317,32172.0,33532.0,,AC,,,,,,,,,1,2030.0,40,,749.6767234216827,6.0,,,,,,,,,,Mitte,Rendsburg Mitte,50.0,61.9,9.691483676270511 54.30880075556864,Umspannwerk Charlottenburg,Umspannwerk Zell,10.024504210738638 47.57320970527648,312.3573401,380,,Errichtung einer Lei- tung: Ersatzneubau,13.315515912071856 52.52199939367935,13.315515912071856 52.52199939367935,,,Umspannwerk Charlottenburg
50HzT- P180,29318,,,,AC,,,,,,,,,1,2030.0,40,,,6.0,,,,,,,,,,Umspannwerk Charlottenburg,,,,8.735135796743075 50.159191553758134,Umspannwerk Reuter,,8.735135796743075 50.159191553758134,4.637691689,380,,Errichtung einer Lei- tung: Ersatzneubau,13.249030342808782 52.53162510010523,13.249030342808782 52.53162510010523,,,Umspannwerk Zell
50HzT- P213,29319,,,,AC,,,,,,,,,1,2035.0,40,,,6.0,,,,,,,,EnLAG,12,DE,,,,12.36809780440618 51.327840038047846,PL,,7.089754759373973 52.07820926549395,374.2366457,380,,Errichtung einer Leitung: Neubau in neuer Trasse,7.089754759373973 52.07820926549395,7.089754759373973 52.07820926549395,,,Station Schöppingen WP
50HzT- P213,29320,,,,AC,,,,,,,,,1,2035.0,40,,,,,,,,,,,EnLAG,12,Umspannwerk Eisenhüttenstadt,,,,14.603938187245118 52.174864548479,Umspannwerk Eisenhüttenstadt,,14.603938187245118 52.174864548479,0.0,380,,Errichtung einer Leitung: Neubau in neuer Trasse,14.603938187245118 52.174864548479,14.603938187245118 52.174864548479,,,Umspannwerk Eisenhüttenstadt
50HzT- P221,29321,,,,DC,,,,,,,,,1,2026.0,40,,,,,,,,,,,BBP,69,DC-Kabel Hansa PowerBridge (HPB),,,,,,,9.113284847390235 52.54385184852183,427.1633221,380,700MW,Errichtung einer Leitung: Neubau in neuer Trasse,11.761256573490533 48.78931766794723,11.761256573490533 48.78931766794723,,,Umspannwerk Neustadt an der Donau
50HzT- P450,29322,,,,AC,,,,,,,,,1,2022.0,40,,,,,,,,,,,BBP,61,Umspannwerk Ragow,,,,8.735135796743075 50.159191553758134,Streumen,,13.38336317738044 51.355589851528315,68.12348115,,,horizontal,13.38336317738044 51.355589851528315,13.38336317738044 51.355589851528315,,,Umspannwerk Zell
AMP-001,29323,31853.0,31026.0,,AC,,,,,,,,,1,2023.0,40,,111.09243082168771,12.0,,,,,,,,EnLAG,2,Wehrendorf,Wehrendorf,100.0,50.0,8.307757038447726 52.34563570215149,Punkt Lemförde,Conneforde,8.052813201940419 53.33191378148668,111.0924308,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,8.052813201940419 53.33191378148668, Stromtragfähigkeit 4000A,8.052813201940419 53.33191378148668,,Conneforde
AMP-001,29324,,,,AC,,,,,,,,,1,2023.0,40,,,,,,,,,,,EnLAG,2,Punkt Lemförde,,,,8.052813201940419 53.33191378148668,Station Sankt Hülfe,,6.683107022192082 51.57564552523084,30.02784023,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,8.403502360406835 52.60907601124505,8.403502360406835 52.60907601124505,,,Station Bochum
AMP-009,29325,,,,AC,,,,,,,,,1,2027.0,40,,,3.0,,,,,,,,EnLAG,5,Station Niederrhein,,,,6.6807962637334715 51.646328801088394,Wettringen,,8.98950736865504 50.060279806392764,447.2909313,380,,Errichtung einer Lei- tung: Ersatzneubau,10.693667277100568 48.56099494564423,10.693667277100568 48.56099494564423,,,Station Niederrhein
AMP-009,29326,,,,AC,,,,,,,,,1,2027.0,40,,,3.0,,,,,,,,EnLAG,5,Station Niederrhein,,,,6.6807962637334715 51.646328801088394,Wettringen (Kabel),,6.65673525925894 51.379523660262194,384.1271665,380,,Errichtung einer Lei- tung: Ersatzneubau,9.400581833297963 48.66696738721869,9.400581833297963 48.66696738721869,,,Umspannwerk Wendlingen
AMP-009,29327,,,,AC,,,,,,,,,1,2027.0,40,,,3.0,,,,,,,,EnLAG,5,Umspannwerk Wertingen,,,,8.735135796743075 50.159191553758134,Meppen,,7.277153959089187 52.75324261801293,129.7399493,380,,Errichtung einer Leitung: Neubau in neuer Trasse,7.277153959089187 52.75324261801293,7.277153959089187 52.75324261801293,,,Umspannwerk Zell
AMP-010,29328,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"16,18",Gaste,,,,14.471920575633378 51.55412023622933,Lüstringen,,8.104639054942613 52.26510433337879,451.1881599,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,8.104639054942613 52.26510433337879,8.104639054942613 52.26510433337879,,,Graustein
AMP-010,29329,32037.0,31853.0,,AC,,,,,,,,,1,2021.0,40,,16.49998089503246,3.0,,,,,,,,EnLAG,"16,18",Lüstringen,Lüstringen,100.0,100.0,8.104639054942613 52.26510433337879,Wehrendorf,Wehrendorf,8.307757038447726 52.34563570215149,16.4999809,380,,Errichtung einer Lei- tung: Ersatzneubau,8.307757038447726 52.34563570215149,8.307757038447726 52.34563570215149,,,Wehrendorf
