scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
AMP-P460,,,Büscherhof – Umbeseilung und Schaltfelderweiterung,Büscherhof ,Büscherhof ,380,400,,"Änderung oder Erweiterung einer Leitung: Zu- oder
Umbeseilung",Leitung,NW,NV,,,,,3.4,"2023,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,M687
TTG-006,EnLAG,6,Wahle – Mecklar,Wahle,Mecklar,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, HE",NA,x,,EnLAG Nr. 6,221,,2024,4: Genehmigt oder im Bau,,,,,,,
TTG-007,EnLAG,5,Dörpen / West – Niederrhein (Punkt Meppen),Dörpen / West,Niederrhein (Punkt Meppen),380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,EnLAG Nr. 5,31,,"2023,
2024","4: Genehmigt oder im Bau,
5: Realisiert",,,,,,,
TTG-009,EnLAG,2,Ganderkesee – St. Hülfe,Ganderkesee,St. Hülfe,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,EnLAG Nr. 2,61,,"2022,
2023",4: Genehmigt oder im Bau,,,,,,,
TTG-P21,,,Conneforde – Garrel/ Ost – Cappeln/West,Conneforde,Garrel/ Ost,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,6,,77,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P21,,,Conneforde – Garrel/ Ost – Cappeln/West,Garrel/ Ost,Cappeln/West,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,6,,77,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P21,,,Cappeln/West – Regel- zonengrenze TTG/AMP,Cappeln/West,Regel- zonengrenze TTG/AMP,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,6,21,,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P24,BBP,7,Stade/West – Dollern,Stade/West,Dollern,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,BBP Nr. 7,,10,2021,4: Genehmigt oder im Bau,,,,,,,
TTG-P24,BBP,7,Dollern – Sottrum,Dollern,Sottrum,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,BBP Nr. 7,,60,2026,"3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,,
TTG-P24,BBP,7,Sottrum – Mehringen (Grafschaft Hoya),Sottrum,Mehringen (Grafschaft Hoya),380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,BBP Nr. 7,,42,2026,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P24,BBP,7,Mehringen (Grafschaft Hoya) – Landesbergen,Mehringen (Grafschaft Hoya),Landesbergen,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,BBP Nr. 7,,45,2026,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P25,BBP,8,Heide/West – Husum/Nord,Heide/West,Husum/Nord,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,SH,NA,x,,BBP Nr. 8,46,,2021,4: Genehmigt oder im Bau,,,,,,,
TTG-P25,BBP,8,Husum/Nord – Klixbüll/Süd,Husum/Nord,Klixbüll/Süd,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,SH,NA,x,,BBP Nr. 8,38,,2022,4: Genehmigt oder im Bau,,,,,,,
TTG-P25,BBP,8,Klixbüll/Süd – Bundesgrenze DK,Klixbüll/Süd,Bundesgrenze DK,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,SH,NA,x,x,BBP Nr. 8,16,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
