scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
P212,,,Landesbergen – Grohnde,Landesbergen,Grohnde,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,NI,NV,,,,,73,2040,,TTG,M797,,,,x,4000A
P212,,,Grohnde – Vörden – Würgassen,Grohnde,Vörden,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"NI, NW",NV,,,,,57,2040,,TTG,M435,,,,x,4000A
P212,,,Grohnde – Vörden – Würgassen,Vörden,Würgassen,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"NI, NW",NV,,,,,,2040,,TTG,M435,,,,x,4000A
P212,,,Würgassen – Sanders- hausen / Ost – Bergshausen,Würgassen,Sandershausen / Ost,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"NW, HE",NV,,,,,57,2040,,TTG,M472,,,,x,4000A
P212,,,Würgassen – Sanders- hausen / Ost – Bergshausen,Sandershausen / Ost,Bergshausen,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"NW, HE",NV,,,,,,2040,,TTG,M472,,,,x,4000A
P212,,,Bergshausen – Borken,Bergshausen, Borken,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,HE,NV,,,,,30,2040,,TTG,M473,,,,x,4000A
P215,BBPIG,52,Güstrow – Bentwisch– Suchraum Gemeinden Sanitz/ Dettmannsdorf,Güstrow,Bentwisch,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,68,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M454,x,x,x,x,
P215,BBPIG,52,Güstrow – Bentwisch– Suchraum Gemeinden Sanitz/ Dettmannsdorf,Bentwisch, Suchraum Gemeinden Sanitz/ Dettmannsdorf,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M454,x,x,x,x,
P216,BBPIG,53,"Güstrow – Siedenbrünzow
– Iven/Krusenfelde/Krien/ Spantekow/Wer- der/Bartow",Güstrow,Siedenbrünzow,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,90,"2032,
2033",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M455,x,x,x,x,
P216,BBPIG,53,"Güstrow – Siedenbrünzow
– Iven/Krusenfelde/Krien/ Spantekow/Wer- der/Bartow",Siedenbrünzow,Iven/Krusenfelde/Krien/ Spantekow/Wer- der/Bartow,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,,"2032,
2033",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M455,x,x,x,x,
P216,BBPIG,53,Iven/Krusenfelde/Krien/ Spantekow/ Werder/Bartow – Pasewalk / Nord– Pasewalk,Iven/Krusenfelde/Krien/ Spantekow/ Werder/Bartow,Pasewalk / Nord,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,62,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M523,x,x,x,x,
P216,BBPIG,53,Iven/Krusenfelde/Krien/ Spantekow/ Werder/Bartow – Pasewalk / Nord– Pasewalk,Pasewalk / Nord,Pasewalk,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,MV,NV,,,,,,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M523,x,x,x,x,
P221,TYNDP,267,50Hz T-Regalzone - Südschweden ,50Hz T-Regalzone,Südschweden,,,,"Errichtung einer Leitung: Neubau in
neuer Trasse",Leitung,MV,NA,,,,35,,2035,,50HzT,M461a,,,,,"HDVC, 700 MW"
P222,BBPIG,47,Oberbachern – Ottenhofen,Oberbachern, Ottenhofen,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,,,,,47,"2027,
2029",2: Im ROV/BFP,TTG,M461,x,x,x,x,
P223,,,Güstrow – Wessin – Görries– Klein Rogahn– Krümmel,Güstrow,Wessin,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, SH",NV,,,,,147,2030,,50HzT,M462a,x,x,x,x,4000A
P223,,,Güstrow – Wessin – Görries– Klein Rogahn– Krümmel,Wessin,Görries,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, SH",NV,,,,,,2030,,50HzT,M462a,x,x,x,x,4000A
P223,,,Güstrow – Wessin – Görries– Klein Rogahn– Krümmel,Görries,Klein Rogahn,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, SH",NV,,,,,,2030,,50HzT,M462a,x,x,x,x,4000A
P223,,,Güstrow – Wessin – Görries– Klein Rogahn– Krümmel,Klein Rogahn,Krümmel,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, SH",NV,,,,,,2030,,50HzT,M462a,x,x,x,x,4000A
P225,BBPIG,77,Altheim – Isar,Altheim,Isar,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BY,NA,,,,8,,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M464a,x,x,x,x,
P227,,,Lübeck / West – Krümmel,Lübeck / West,Krümmel,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,SH,NA,,,,80,,2040,,TTG,M468,,,,x,
P228,BBPIG,59,"Landesbergen
– Lehrte / Lahe – Mehrum / Nord",Landesbergen,Lehrte / Lahe,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,98,"2031,
2032",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M469a,x,x,x,x,
P228,BBPIG,59,"Landesbergen
– Lehrte / Lahe – Mehrum / Nord",Lehrte / Lahe,Mehrum / Nord,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,,"2031,
2032",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M469a,x,x,x,x,
P252,,,(Marzahn –) Punkt Biesdorf / Süd – Wuhlheide,(Marzahn –) Biesdorf / Süd,Wuhlheide,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,BE,NV,,,,,4,"2030-
2035",,50HzT,M534a,x,x,x,x,
P302,BBPIG,68,Höpfingen – Hüffenhardt,Höpfingen,Hüffenhardt,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,BW,NV,,,,,46,2030,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TNG,M511,x,x,x,x,
P306,,,Großgartach – Pulverdingen,Großgartach,Pulverdingen,380,,,"Errichtung einer Leitung: Ersatzneubau, Parallelneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung",Leitung,BW,NV,,,,,39,2035,,TNG,M518,x,x,x,x,TransnetBW
P313,TYNDP,225,Deutschland - Belgien,Deutschland,Belgien.,,,,"Errichtung einer
Leitung: Neubau in
neuer Trasse",Leitung,NW,NA,,,,,15,2035,,AMP,M488,,,,,HVDC
P315,BBPIG,63,Hanekenfähr – Gronau,Hanekenfähr,Gronau,380,,6,"Errichtung einer Leitung: Ersatzneubau,
Errichtung einer Leitung: Paral- lelneubau",Leitung,"NI, NW",NV,,,,,94,"2033,
2034",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,AMP,M491,x,x,x,x,
P328,BBPIG,70,Fedderwarden – Großbritannien,Fedderwarden, Großbritannien,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,,200,,2025,3: Vor oder im PFV/ Genehmigung nach BImSchG,(TTG),M534,x,x,x,x,
P330,,,Punkt Rittershausen – Höpfingen,Rittershausen,Höpfingen,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"BY, BW",NV,,,,,42.3,2035,,TNG,M550,x,x,x,x,
P355,,,"Netzverstärkung Neuenhagen
– Heinersdorf – Eisenhüttenstadt
– Preilack",Netzverstärkung Neuenhagen,Heinersdorf – Eisenhüttenstadt,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BB,NV,,,,,125,2035,,50HzT,M599,,,x,x,
P355,,,"Netzverstärkung Neuenhagen
– Heinersdorf – Eisenhüttenstadt
– Preilack",Heinersdorf – Eisenhüttenstadt,Preilack,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BB,NV,,,,,,2035,,50HzT,M599,,,x,x,
P359,BBPIG,60,Stendal / West – Wolmirstedt,Stendal / West,Wolmirstedt,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,ST,NV,,,,,37,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M571,x,x,x,x,
P367,TYNDP ,1047,"Emden / Ost – Eemshaven (Grenze
DE / NL)",Emden / Ost,Eemshaven (Grenze,380,,3,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,,26,,2035,,,,,,,,
P402,,,Westerkappeln – Gersteinwerk,Westerkappeln,Gersteinwerk,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NW,NA,,,,126,,2033,,AMP,M602,x,x,x,x,
P403,BBPIG,64,Hattingen – Linde,Hattingen,Linde,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,25,"2032,
2033",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,AMP,M603,x,x,x,x,
P406,BBPIG,71,Aach – Bofferdange,Aach,Bofferdange,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,RP,NV,x,,,,10,"2026,
2027",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,AMP,M606,x,x,x,x,
P408,,,Eiberg – Bochum,Eiberg,Bochum,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,13,2035,,AMP,M621,x,x,x,x,
P408,,,Bochum – Hattingen,Bochum,Hattingen,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,11,2035,,AMP,M622,x,x,x,x,
P408,,,Emscherbruch – Bochum / Eiberg,Emscherbruch,Bochum / Eiberg,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,NW,NV,,,,,33,2035,,AMP,M744,x,x,x,x,
P450,BBPIG,60,Putlitz / Süd – Putlitz – Perleberg – Stendal / West,Putlitz / Süd,Putlitz,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"BB, ST",NV,,,,,98,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M678,x,x,x,x,"HTLS, strengthened existing 380"
P450,BBPIG,60,Putlitz / Süd – Putlitz – Perleberg – Stendal / West,Putlitz,Perleberg,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"BB, ST",NV,,,,,,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M678,x,x,x,x,"HTLS, strengthened existing 380"
P450,BBPIG,60,Putlitz / Süd – Putlitz – Perleberg – Stendal / West,Perleberg,Stendal / West,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"BB, ST",NV,,,,,,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M678,x,x,x,x,"HTLS, strengthened existing 380"
P450,BBPIG,60,Güstrow – Siedenbrünzow – Putlitz / Süd,Güstrow,Siedenbrünzow,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, BB",NV,,,,,152,2035,,50HzT,M786,x,x,x,x,"HTLS, strengthened existing 380"
P450,BBPIG,60,Güstrow – Siedenbrünzow – Putlitz / Süd,Siedenbrünzow,Putlitz / Süd,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"MV, BB",NV,,,,,,2035,,50HzT,M786,x,x,x,x,"HTLS, strengthened existing 380"
P451,BBPIG,62,Graustein – Bärwalde,Graustein,Bärwalde,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"BB, SN",NV,,,,,22,2030,3: Vor oder im PFV/ Genehmigung nach BImSchG,50HzT,M681,x,x,x,x,"HTLS, strengthened existing 380"
P462,BBPIG,75,Aachen – Netzerweiterung,Aachen,Aachen,110/380,,,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung",Leitung,NW,NV,,,,,26,"2027,
2028",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,AMP,M689,x,x,x,x,600MW into 110kV grid
P464,,,Saarland – Saarwellingen – Netzerweiterung,Saarland,Saarwellingen,380,,,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung",Leitung,SL,NV,,,,,8.3,2028,,AMP,M691,x,x,x,x,
P500,,,Aschaffenburg – Urberach,Aschaffenburg,Urberach,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"BY, HE",NVA,,,,29.5,,2035,,"AMP, TTG",M737,x,x,x,x,Nur zwischen Aschaffenburg und Urberach
P501,,,Gersteinwerk – Lippe – Mengede,Gersteinwerk,Lippe,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,34,2035,,AMP,M740,x,x,x,x,
P501,,,Gersteinwerk – Lippe – Mengede,Lippe,Mengede,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,,2035,,AMP,M740,x,x,x,x,
P502,,,Walsum – Beeck,Walsum,Beeck,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,NW,NV,,,,,8.5,"2027 /
2028",,AMP,M741,x,x,x,x,
P503,,,Niederrhein – Walsum,Niederrhein,Walsum,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,NW,NV,,,,,26.6,2035,,AMP,M742,x,x,x,x,Umstellung von 220 kV
P504,,,Sechtem – Weissenthurm,Sechtem,Weissenthurm,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,"NW, RP",NV,,,,,77,2030,,AMP,M743,x,x,x,x,Umbeseilung
P505,,,Niederstedem – Bauler – Bundesgrenze,Niederstedem,Bauler,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,RP,NV,,,,,22,2030,,AMP,M754,x,x,x,x,"HTLS, existing is 220kV"
P505,,,Niederstedem – Bauler – Bundesgrenze,Bauler,Bundesgrenze,,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,RP,NV,,,,,,2030,,AMP,M754,x,x,x,x,"HTLS, existing is 220kV"
P509,,,Limburg – Eschborn – Kriftel,Limburg,Eschborn,380,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung",Leitung,HE,NVA,,,,60,10,2040,,AMP,M784,,,,x,
P509,,,Limburg – Eschborn – Kriftel,Eschborn,Kriftel,380,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung",Leitung,HE,NVA,,,,60,,2040,,AMP,M784,,,,x,
P528,,,Netzverstärkung Lauchstädt – Leuna / Merse- burg / Weißenfels– Pulgar,Lauchstädt,Leuna / Merseburg / Weißenfels,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"ST, SN",NV,,,,,59,2040,,50HzT,M750,,,,x,
P528,,,Netzverstärkung Lauchstädt – Leuna / Merse- burg / Weißenfels– Pulgar,Leuna / Merseburg / Weißenfels,Pulgar,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"ST, SN",NV,,,,,,2040,,50HzT,M750,,,,x,
P531,,,Thyrow – Mahlow – Berlin / Südost / Lichterfelde – Mitte,Thyrow,Mahlow,380,,6,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer Leitung: Ersatz- neubau",Leitung,"BB, BE",NVA,,,,20,25,"2030-
2035",,50HzT,M531a,x,x,x,x,
P531,,,Thyrow – Mahlow – Berlin / Südost / Lichterfelde – Mitte,Mahlow, Berlin / Südost / Lichterfelde,380,,6,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer Leitung: Ersatz- neubau",Leitung,"BB, BE",NVA,,,,,,"2030-
2035",,50HzT,M531a,x,x,x,x,
P531,,,Thyrow – Mahlow – Berlin / Südost / Lichterfelde – Mitte, Berlin / Südost / Lichterfelde,Mitte,380,,6,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer Leitung: Ersatz- neubau",Leitung,"BB, BE",NVA,,,,,,"2030-
2035",,50HzT,M531a,x,x,x,x,
P531,,,Malchow – Moabit – Reuter,Malchow,Moabit,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BE,NA,,,,18,,"2030-
2035",,50HzT,M531b,x,x,x,x,
P531,,,Malchow – Moabit – Reuter,Moabit, Reuter,380,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,BE,NA,,,,,,"2030-
2035",,50HzT,M531b,x,x,x,x,
