scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,start point test,Endpoint,End point test,Ausbau,Bestand,subst_name0,matching1%,matching2%,Coordinate0,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments
P212,29473,31407,31085,,AC,,,,,,,,,1,2040,40,,59.72633264,,,,,,,,,,,Landesbergen,Würgassen,Grohnde,Sandershausen / Ost,,57,Landesbergen,100,100,9.125265746125436 52.53826407418714,Grohnde,9.390175306207366 52.02668689009703,64.21599798,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P212,29474,31085,32252,,AC,,,,,,,,,1,2040,40,,26.31574306,,,,,,,,,,,Grohnde,Sandershausen / Ost,VÃ¶rden,Bergshausen,,,Grohnde,100,100,9.390175306207366 52.02668689009703,VÃ¶rden,9.228111325885946 51.81245400273137,26.31574306,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P212,29475,32252,34779,,AC,,,,,,,,,1,2040,40,,22.05751979,,,,,,,,,,,VÃ¶rden,Bergshausen,WÃ¼rgassen, Borken,,30,VÃ¶rden,100,100,9.228111325885946 51.81245400273137,WÃ¼rgassen,9.387640755119856 51.64073490643047,22.05751979,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P212,29476,34779,,,AC,,,,,,,,,1,2040,40,,,,,,,,,,,,,WÃ¼rgassen,Güstrow,Sandershausen / Ost,Bentwisch,,68,WÃ¼rgassen,100,,9.387640755119856 51.64073490643047,,,37.05539614,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P212,29477,,34097,,AC,,,,,,,,,1,2040,40,,43.3693596,,,,,,,,,,,Sandershausen / Ost,Bentwisch,Bergshausen, Suchraum Gemeinden Sanitz/ Dettmannsdorf,,,,,64.71,,Umspannwerk Bergshausen,9.513830681321172 51.25897936948762,43.3693596,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P212,29478,34097,,,AC,,,,,,,,,1,2040,40,,,,,,,,,,,,,Bergshausen,Güstrow, Borken,Siedenbrünzow,,90,Umspannwerk Bergshausen,64.71,,9.513830681321172 51.25897936948762,,,193.770043,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P215,29479,31759,31761,,AC,,,,,,,,,1,2030,40,,31.631797,,,,,,,,,BBPIG,52,GÃ¼strow,Siedenbrünzow,Bentwisch,Iven/Krusenfelde/Krien/ Spantekow/Wer- der/Bartow,,,Umspannwerk GÃ¼strow,53.85,81.82,12.18580202996256 53.81602837061954,Bentwisch HGÃœ,12.213671694775991 54.09974494582503,34.08735279,380,,Errichtung einer Leitung: Ersatz- neubau
P215,29480,31761,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,BBPIG,52,Bentwisch,Iven/Krusenfelde/Krien/ Spantekow/ Werder/Bartow, Suchraum Gemeinden Sanitz/ Dettmannsdorf,Pasewalk / Nord,,62,Bentwisch HGÃœ,81.82,,12.213671694775991 54.09974494582503,,,380,,Errichtung einer Leitung: Ersatz- neubau,
P216,29481,31759,35264,,AC,,,,,,,,,1,2030,40,,63.79914871,,,,,,,,,BBPIG,53,GÃ¼strow,Pasewalk / Nord,SiedenbrÃ¼nzow,Pasewalk,,,Umspannwerk GÃ¼strow,53.85,100,12.18580202996256 53.81602837061954,SiedenbrÃ¼nzow,13.143068658999566 53.907546811967244,62.96365186,380,,Errichtung einer Leitung: Ersatz- neubau
P216,29482,35264,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,BBPIG,53,SiedenbrÃ¼nzow,50Hz T-Regalzone,Iven/Krusenfelde/Krien/ Spantekow/Wer- der/Bartow,Südschweden,35,,SiedenbrÃ¼nzow,100,,13.143068658999566 53.907546811967244,,,380,,Errichtung einer Leitung: Ersatz- neubau,
P216,29483,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,BBPIG,53,Iven/Krusenfelde/Krien/ Spantekow/ Werder/Bartow,Oberbachern,Pasewalk / Nord, Ottenhofen,,47,,,,,,,73.82147911,380,,Errichtung einer Leitung: Ersatz- neubau
P216,29484,,35283,,AC,,,,,,,,,1,2030,40,,73.76241982,,,,,,,,,BBPIG,53,Pasewalk / Nord,Güstrow,Pasewalk,Wessin,,147,,,100,,Pasewalk,14.033684493013668 53.507523103743004,73.82147911,380,,Errichtung einer Leitung: Ersatz- neubau
P221,29485,,,,DC,,,,,,,,,1,2035,40,,,,,,,,,,,TYNDP,267,50Hz T-Regalzone,Wessin,SÃ¼dschweden,Görries,,,,,,,,,297.0596945,,700MW,"Errichtung einer Leitung: Neubau in
neuer Trasse"
P222,29486,30878,,,AC,,,,,,,,,1,2029,40,,,6,,,,,,,,BBPIG,47,Oberbachern,Görries, Ottenhofen,Klein Rogahn,,,Umspannwerk Oberbachern,64.71,,11.37040879051204 48.29148987363752,,,38.14589951,380,2629.6MVA,Errichtung einer Leitung: Ersatz- neubau
P223,29487,31759,34679,,AC,,,,,,,,,1,2030,40,,42.1567951,,,,,,,,,,,GÃ¼strow,Klein Rogahn,Wessin,Krümmel,,,Umspannwerk GÃ¼strow,53.85,50,12.18580202996256 53.81602837061954,Umspannwerk Wessin,11.698597650739616 53.571372820376936,41.69370921,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P223,29488,34679,31614,,AC,,,,,,,,,1,2030,40,,21.96621176,,,,,,,,,,,Wessin,Altheim,GÃ¶rries,Isar,8,,Umspannwerk Wessin,50,53.85,11.698597650739616 53.571372820376936,Umspannwerk GÃ¶rries,11.370591034721848 53.60071538776719,21.96621176,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P223,29489,31614,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,,,GÃ¶rries,Lübeck / West,Klein Rogahn,Krümmel,80,,Umspannwerk GÃ¶rries,53.85,,11.370591034721848 53.60071538776719,,,358.8793634,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P223,29490,,30978,,AC,,,,,,,,,1,2030,40,,66.78926129,,,,,,,,,,,Klein Rogahn,Landesbergen,KrÃ¼mmel,Lehrte / Lahe,,98,,,53.85,,Umspannwerk KrÃ¼mmel,10.414682339890597 53.41259063501034,66.57661971,380,2629.6MVA,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P225,29491,32779,32780,,AC,,,,,,,,,1,2030,40,,6.083694141,9,,,,,,,,BBPIG,77,Altheim,Lehrte / Lahe,Isar,Mehrum / Nord,,,Umspannwerk Altheim,53.85,100,12.220835400057918 48.58573299883071,Isar,12.296883821275578 48.60690994546696,6.083694141,380,2629.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse
P227,29492,,30978,,AC,,,,,,,,,1,2040,40,,551.6956654,6,,,,,,,,,,LÃ¼beck / West,(Marzahn –) Biesdorf / Süd,KrÃ¼mmel,Wuhlheide,,4,,,53.85,,Umspannwerk KrÃ¼mmel,10.414682339890597 53.41259063501034,551.5916491,380,2629.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse
P228,29493,31407,,,AC,,,,,,,,,1,2032,40,,,6,,,,,,,,BBPIG,59,Landesbergen,Höpfingen,Lehrte / Lahe,Hüffenhardt,,46,Landesbergen,100,,9.125265746125436 52.53826407418714,,,59.21871113,380,2629.6MVA,Errichtung einer Leitung: Ersatz- neubau
P228,29494,,,,AC,,,,,,,,,1,2032,40,,,6,,,,,,,,BBPIG,59,Lehrte / Lahe,Großgartach,Mehrum / Nord,Pulverdingen,,39,,,,,,,13.61961715,380,2629.6MVA,Errichtung einer Leitung: Ersatz- neubau
P252,29495,,30930,,AC,,,,,,,,,1,2035,40,,297.5052354,6,,,,,,,,,,(Marzahn â€“) Biesdorf / SÃ¼d,Deutschland,Wuhlheide,Belgien.,,15,,,60,,Umspannwerk Wuhlheide,13.5061273352059 52.473825606560844,244.260437,380,,Errichtung einer Leitung: Ersatz- neubau
P302,29496,33771,33758,,AC,,,,,,,,,1,2030,40,,41.76454046,3,,,,,,,,BBPIG,68,HÃ¶pfingen,Hanekenfähr,HÃ¼ffenhardt,Gronau,,94,Umspannwerk HÃ¶pfingen,60,64.71,9.446918747930244 49.59026295269401,Umspannwerk HÃ¼ffenhardt,9.091835332635775 49.29461883142266,41.76454046,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P306,29497,31261,32308,,AC,,,,,,,,,1,2035,40,,27.86701469,3,,,,,,,,,,GroÃŸgartach,Fedderwarden,Pulverdingen, Großbritannien,200,,Umspannwerk GroÃŸgartach,64.71,66.67,9.15157490076255 49.14362211741481,Umspannwerk Pulverdingen,9.04543545075604 48.90296099677025,27.69184071,380,,Errichtung einer Leitung: Ersatzneubau
P313,29498,31808,,,DC,,,,,,,,,1,2035,40,,,,,,,,,,,TYNDP,225,Dahlem,Rittershausen,Belgien.,Höpfingen,,42.3,Station Dahlem,60,,6.531696645299863 50.39004697200127,,,477.8358414,380,mind. 1GW,"Errichtung einer
Leitung: Neubau in
neuer Trasse"
