scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo
P135,29462,31136,31053,,AC,3.732302004,0.41581037,0,,5400,TRUE,5400,Infinity,1,2031,40,20740.74074,44.8,3,1,1,-Infinity,Infinity,380,010200000002000000CD5D4B621FE121402C93419896334A40AAC9BEB1942421409012E79F780D4A40,010200000002000000CD5D4B621FE121402C93419896334A40AAC9BEB1942421409012E79F780D4A40
P135,29463,31053,35362,,AC,1.266316751,0.141078519,0,,5400,TRUE,5400,Infinity,1,2031,40,7037.037037,15.2,3,1,1,-Infinity,Infinity,380,010200000002000000AAC9BEB1942421409012E79F780D4A4091EB4094845121401AE77E10E3FF4940,010200000002000000AAC9BEB1942421409012E79F780D4A4091EB4094845121401AE77E10E3FF4940
P150,29464,23074,34109,,AC,17.8442312,1.988,0,,1790,TRUE,1790,Infinity,1,2031,40,99162.01117,71,3,1,1,-Infinity,Infinity,380,01020000000200000025647B88A1682740EED11BEE23B24940C9A41F9826782540A5ED6D0A58B84940,01020000000200000025647B88A1682740EED11BEE23B24940C9A41F9826782540A5ED6D0A58B84940
P150,29465,34109,33754,,AC,16.5875952,1.848,0,,1790,TRUE,1790,Infinity,1,2029,40,92178.77095,66,3,1,1,-Infinity,Infinity,380,010200000002000000C9A41F9826782540A5ED6D0A58B84940718416231A3F26405CA54CC4CA7F4940,010200000002000000C9A41F9826782540A5ED6D0A58B84940718416231A3F26405CA54CC4CA7F4940
P159,29466,33902,8910,,AC,3.2672536,0.364,0,,1790,TRUE,1790,Infinity,1,2029,40,18156.42458,13,3,1,1,-Infinity,Infinity,380,01020000000200000074133514B8D62040D339E7B41DD14840C6466AEBF1C82040A304A2CCABC84840,01020000000200000074133514B8D62040D339E7B41DD14840C6466AEBF1C82040A304A2CCABC84840
P159,29467,8910,34001,,AC,1.256636,0.14,0,,1790,TRUE,1790,Infinity,1,2029,40,6983.240223,5,3,1,1,-Infinity,Infinity,380,010200000002000000C6466AEBF1C82040A304A2CCABC84840B62BE4390BD12040E67A81EFA9C34840,010200000002000000C6466AEBF1C82040A304A2CCABC84840B62BE4390BD12040E67A81EFA9C34840
P161,29468,32221,32219,,AC,0.7539816,0.084,0,,1790,TRUE,1790,Infinity,1,2029,40,4189.944134,3,3,1,1,-Infinity,Infinity,380,010200000002000000FB233CDADBEA21402FCE60E4920A4940800CB7B5A0FA21407788AA3FB7074940,010200000002000000FB233CDADBEA21402FCE60E4920A4940800CB7B5A0FA21407788AA3FB7074940
P161,29469,32219,30972,,AC,5.2778712,0.588,0,,1790,TRUE,1790,Infinity,1,2028,40,29329.60894,21,3,1,1,-Infinity,Infinity,380,010200000002000000800CB7B5A0FA21407788AA3FB7074940DFD322A2678B21406BC81BDABEFC4840,010200000002000000800CB7B5A0FA21407788AA3FB7074940DFD322A2678B21406BC81BDABEFC4840
P170,29470,32535,32815,,AC,8.5451248,0.952,0,,1790,TRUE,1790,Infinity,1,2028,40,47486.03352,34,3,1,1,-Infinity,Infinity,380,0102000000020000009DAB429D5EFC1B40DB44F0980DB04840E43273CEC3171B402DDF7AEB41A54840,0102000000020000009DAB429D5EFC1B40DB44F0980DB04840E43273CEC3171B402DDF7AEB41A54840
P170,29471,32815,77505,,AC,3.2672536,0.364,0,,1790,TRUE,1790,Infinity,1,2030,40,18156.42458,13,3,1,1,-Infinity,Infinity,380,010200000002000000E43273CEC3171B402DDF7AEB41A5484003931B45D6AA1A40ED0DBE3099A24840,010200000002000000E43273CEC3171B402DDF7AEB41A5484003931B45D6AA1A40ED0DBE3099A24840
P175,29472,34124,35036,,AC,1.249654689,0.139222222,0,,5400,TRUE,5400,Infinity,1,2030,40,3472.222222,15,6,1,2,-Infinity,Infinity,380,010200000002000000BDBC904EB14B2040B1575F4E22C84A40F59412AD99202040CE844FD423C74A40,010200000002000000BDBC904EB14B2040B1575F4E22C84A40F59412AD99202040CE844FD423C74A40
P175,29473,34124,31026,,AC,2.999171253,0.334133333,0,,5400,TRUE,5400,Infinity,1,2029,40,8333.333333,36,6,1,2,-Infinity,Infinity,380,010200000002000000BDBC904EB14B2040B1575F4E22C84A402543FE540A1B2040DB499A267CAA4A40,010200000002000000BDBC904EB14B2040B1575F4E22C84A402543FE540A1B2040DB499A267CAA4A40
P176,29474,34710,77506,,AC,4.5238896,0.504,0,,1790,TRUE,1790,Infinity,1,2029,40,25139.6648,18,3,1,1,-Infinity,Infinity,380,010200000002000000EF63BA5394031F40B2E44CB0B70C4840E066F16261381E406803B00111F44740,010200000002000000EF63BA5394031F40B2E44CB0B70C4840E066F16261381E406803B00111F44740
P200,29475,31332,2344,,AC,4.0212352,0.448,0,,1790,TRUE,1790,Infinity,1,2026,40,11173.18436,16,6,1,2,-Infinity,Infinity,380,010200000002000000FA9F9B6CAFD419404D0C6CFE8C6F494014C9FC48B6971A4036A33039FF6E4940,010200000002000000FA9F9B6CAFD419404D0C6CFE8C6F494014C9FC48B6971A4036A33039FF6E4940
P204,29476,31716,77507,,AC,1.0053088,0.112,0,,1790,TRUE,1790,Infinity,1,2027,40,5586.592179,4,3,1,1,-Infinity,Infinity,380,010200000002000000970A3A0F8584204018A0BDC12DD147402D26361FD77620409D9CA1B8E3C74740,010200000002000000970A3A0F8584204018A0BDC12DD147402D26361FD77620409D9CA1B8E3C74740
P206,29477,31241,33704,,AC,11.48565304,1.2796,0,,1790,TRUE,1790,Infinity,1,2030,40,31913.40782,45.7,6,1,2,-Infinity,Infinity,380,010200000002000000BCDCE6B2C6D92240E5C9978F3F084840C95CD4E92E8B22403C56C5EF0DF54740,010200000002000000BCDCE6B2C6D92240E5C9978F3F084840C95CD4E92E8B22403C56C5EF0DF54740
P206,29478,33704,33333,,AC,9.52530088,1.0612,0,,1790,TRUE,1790,Infinity,1,2032,40,26466.48045,37.9,6,1,2,-Infinity,Infinity,380,010200000002000000C95CD4E92E8B22403C56C5EF0DF547402F9CCAE819B92140F76C114639E74740,010200000002000000C95CD4E92E8B22403C56C5EF0DF547402F9CCAE819B92140F76C114639E74740
P206,29479,33333,31716,,AC,14.17485408,1.5792,0,,1790,TRUE,1790,Infinity,1,2032,40,39385.47486,56.4,6,1,2,-Infinity,Infinity,380,0102000000020000002F9CCAE819B92140F76C114639E74740970A3A0F8584204018A0BDC12DD14740,0102000000020000002F9CCAE819B92140F76C114639E74740970A3A0F8584204018A0BDC12DD14740
P211,29480,34585,31040,,AC,4.248825942,0.473355556,0,,5400,TRUE,5400,Infinity,1,2032,40,23611.11111,51,3,1,1,-Infinity,Infinity,380,010200000002000000644B48EF3350214060F6162F894D494074E0E19FB19E2140BAD4F3780E1A4940,010200000002000000644B48EF3350214060F6162F894D494074E0E19FB19E2140BAD4F3780E1A4940
P212,29481,31407,31085,,AC,6.081652819,0.677548148,0,,5400,TRUE,5400,Infinity,1,2031,40,33796.2963,73,3,1,1,-Infinity,Infinity,380,010200000002000000E8D5F5D4224022406C9F51D6E5444A401FBCC70EC5C722406F19DC796A034A40,010200000002000000E8D5F5D4224022406C9F51D6E5444A401FBCC70EC5C722406F19DC796A034A40
P212,29482,31085,32252,,AC,2.640936909,0.294222963,0,,5400,TRUE,5400,Infinity,1,2040,40,14675.92593,31.7,3,1,1,-Infinity,Infinity,380,0102000000020000001FBCC70EC5C722406F19DC796A034A40FF0DF901CB742240269E257EFEE74940,0102000000020000001FBCC70EC5C722406F19DC796A034A40FF0DF901CB742240269E257EFEE74940
P212,29483,32252,34779,,AC,2.107750909,0.234821481,0,,5400,TRUE,5400,Infinity,1,2040,40,11712.96296,25.3,3,1,1,-Infinity,Infinity,380,010200000002000000FF0DF901CB742240269E257EFEE749404DAC5BD978C622402243F69903D24940,010200000002000000FF0DF901CB742240269E257EFEE749404DAC5BD978C622402243F69903D24940
P212,29484,34779,34965,,AC,3.840605411,0.427876296,0,,5400,TRUE,5400,Infinity,1,2040,40,21342.59259,46.1,3,1,1,-Infinity,Infinity,380,0102000000020000004DAC5BD978C622402243F69903D249403F08CA9CA92B234041CBF8806AAA4940,0102000000020000004DAC5BD978C622402243F69903D249403F08CA9CA92B234041CBF8806AAA4940
P212,29485,34965,34097,,AC,0.908082407,0.101168148,0,,5400,TRUE,5400,Infinity,1,2040,40,5046.296296,10.9,3,1,1,-Infinity,Infinity,380,0102000000020000003F08CA9CA92B234041CBF8806AAA494063E9A7D014072340DE24693C26A14940,0102000000020000003F08CA9CA92B234041CBF8806AAA494063E9A7D014072340DE24693C26A14940
P212,29486,34097,31595,,AC,2.499309378,0.278444444,0,,5400,TRUE,5400,Infinity,1,2040,40,13888.88889,30,3,1,1,-Infinity,Infinity,380,01020000000200000063E9A7D014072340DE24693C26A149402F461126FE841B409EA2EB4772EB4940,01020000000200000063E9A7D014072340DE24693C26A149402F461126FE841B409EA2EB4772EB4940
P215,29487,31759,31761,,AC,12.28990008,1.3692,0,,1790,TRUE,1790,Infinity,1,2040,40,68296.08939,48.9,3,1,1,-Infinity,Infinity,380,01020000000200000070709471215F2840A5351E9E73E84A409D495A60666D284041214071C40C4B40,01020000000200000070709471215F2840A5351E9E73E84A409D495A60666D284041214071C40C4B40
P215,29488,31761,35212,,AC,4.80034952,0.5348,0,,1790,TRUE,1790,Infinity,1,2030,40,26675.97765,19.1,3,1,1,-Infinity,Infinity,380,0102000000020000009D495A60666D284041214071C40C4B401E4B473262E128403F7AE2310E044B40,0102000000020000009D495A60666D284041214071C40C4B401E4B473262E128403F7AE2310E044B40
P216,29489,31759,35264,,AC,16.53732976,1.8424,0,,1790,TRUE,1790,Infinity,1,2030,40,91899.44134,65.8,3,1,1,-Infinity,Infinity,380,01020000000200000070709471215F2840A5351E9E73E84A40AFF8964B40492A40837E727E2AF44A40,01020000000200000070709471215F2840A5351E9E73E84A40AFF8964B40492A40837E727E2AF44A40
P216,29490,35264,32123,,AC,6.08211824,0.6776,0,,1790,TRUE,1790,Infinity,1,2033,40,33798.88268,24.2,3,1,1,-Infinity,Infinity,380,010200000002000000AFF8964B40492A40837E727E2AF44A405CFB7C5EB6CC2A4020D75877B0E54A40,010200000002000000AFF8964B40492A40837E727E2AF44A405CFB7C5EB6CC2A4020D75877B0E54A40
P216,29491,32123,35283,,AC,15.5822864,1.736,0,,1790,TRUE,1790,Infinity,1,2033,40,86592.17877,62,3,1,1,-Infinity,Infinity,380,0102000000020000005CFB7C5EB6CC2A4020D75877B0E54A4089C007183F112C4033455E84F6C04A40,0102000000020000005CFB7C5EB6CC2A4020D75877B0E54A4089C007183F112C4033455E84F6C04A40
P221,29492,31759,43774,,DC,4.358956125,0.809375,0,,700,TRUE,700,Infinity,1,2030,40,37500,35,2,1,1,-Infinity,Infinity,,01020000000200000070709471215F2840A5351E9E73E84A40876D2A0613473040B8F2AE1ACBAD4E40,01020000000200000070709471215F2840A5351E9E73E84A40876D2A0613473040B8F2AE1ACBAD4E40
