scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,oldlinecode,Projekt,Projekt_id,cable/line,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung,matching0%,matching1%
AMP-001,,,,,AC,,,,,2700,,,,1,2023,40,,,,,,,,380,,,,EnLAG,2,line,,Punkt Lemförde,,Station Sankt Hülfe,,8.37266130421446 52.47441724607989,8.403502360406835 52.60907601124505,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,EnLAG Nr. 2,2023,4: Genehmigt oder im Bau,,,,4000A,,
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,73,,,,,,380,,,,EnLAG,5,line,Niederrhein – Punkt Wettringen,Niederrhein,,Punkt Wettringen,,6.6807962637334715 51.646328801088394,7.3512625985165405 52.22420146066771,Bestand,,,73,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,x,,EnLAG Nr. 5,2023,"3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,12,,,,,,380,,,,EnLAG,5,cable,Niederrhein – Punkt Wettringen (Kabel),Niederrhein,,Punkt Wettringen (Kabel),,6.6807962637334715 51.646328801088394,7.3512625985165405 52.22420146066771,Bestand,,,12,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,x,,EnLAG Nr. 5,2023,4: Genehmigt oder im Bau,,,,,,
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,65,,,,,,380,,,,EnLAG,5,line,Punkt Wettringen – Punkt Meppen,Punkt Wettringen,,Meppen,,7.3512625985165405 52.22420146066771,7.277153959089187 52.75324261801293,Ausbau,,65,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",,x,,EnLAG Nr. 5,2023,"3: vor oder im PFV/ Genehmigung nach BImSchG
4: Genehmigt oder im Bau",,,,,,
AMP-010,,,,,AC,,,,,,,,,1,2027,40,,14,,,,,,380,,,,EnLAG,"16,18",line,Punkt Gaste – Lüstringen,Punkt Gaste,,Lüstringen,,7.929254 52.2638602,8.104639054942613 52.26510433337879,Bestand,,,14,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NI,NV,,,"EnLAG Nr. 16,
18","2025,
2027",4: Genehmigt oder im Bau,,,,,,
AMP-010,,,,,AC,,,,,,,,,1,2028,40,,21,,,,,,380,,,,EnLAG,"16,18",line,Lüstringen – Wehrendorf,Lüstringen,,Wehrendorf,,8.104639054942613 52.26510433337879,8.307757038447726 52.34563570215149,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,,,"EnLAG Nr. 16,
18","2026,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-010,,,,,AC,,,,,,,,,1,2028,40,,29,,,,,,380,,,,EnLAG,"16,18",line,Lüstringen – Hesseln,Lüstringen,,Hesseln,,8.104639054942613 52.26510433337879,8.319013268377837 52.06589206021646,Bestand,,,29,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NI, NW",NV,,,"EnLAG Nr. 16,
18","2027,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-010,,,,,AC,,,,,,,,,1,2027,40,,29,,,,,,380,,,,EnLAG,"16,18",line,Hesseln – Gütersloh,Hesseln,,Blankenhagen,,8.319013268377837 52.06589206021646,8.364229604054652 51.92712243013718,Bestand,,,29,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 16,
18","2026,
2027",4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,7,,,,,,380,,,,EnLAG,"14,15",line,Punkt Fellerhöfe – Punkt St. Tönis,Punkt Fellerhöfe,,Station St. Tönis,,6.5881942 51.2842253,6.518713830813268 51.32384889536959,Bestand,,,7,380,Errichtung einer Leitung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,6.5,,,,,,380,,,,EnLAG,"14,15",line,Punkt St. Tönis – Punkt Hüls-West,Station St. Tönis,,Punkt Hüls-West,,6.518713830813268 51.32384889536959,6.4866761 51.3771562,Bestand,,,6.5,380,Änderung oder Erweiterung einer Leitung: Zuoder Umbeseilung,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
