bus_id,lon,lat,point,polygon,voltage,power_type,substation,osm_id,osm_www,frequency,subst_name,ref,operator,dbahn,status
30921,7.037619941130345,51.59854964333132,0101000020E6100000405483D785261C40FB9153469DCC4940,0103000020E61000000100000008000000D7B7DD150B251C40BAD2B116B0CC4940DCB2E84251251C409BA8C4527FCC4940D7B38C79C2271C4017AB475288CC49401AAA189DE2271C4025D72D849CCC4940B889FFE0E8271C40F2DF6E81BACC49406953D048DF271C40B1F0E05FBACC49403A025DA049271C40D1B39F58B8CC4940D7B7DD150B251C40BAD2B116B0CC4940,220000;110000,substation,transmission,w22944791,http://www.osm.org/way/22944791,NA,Station Bergmannsglück,NA,RWE,no,2
30925,9.215650199269069,48.85230535501612,0101000020E61000001B79F2B3696E2240FDFF8457186D4840,0103000020E610000001000000090000005DBAEE528F6D224094B3DAF8136D4840A062E64C246E2240FA990BA2FF6C484070C108D0A56E22404F71A2EDF36C48403B70CE88D26E2240D8045FCD016D4840E1CE2AD8EB6E224064927D31006D484008AF134D566F22408D4B794E1F6D4840B43F06E1C06E2240619133492C6D4840BC749318046E22402722B3AF3C6D48405DBAEE528F6D224094B3DAF8136D4840,380000;110000,substation,transmission,w22960899,http://www.osm.org/way/22960899,50,Umspannwerk Mühlhausen,NA,Netze BW,no,2
32078,7.031690662968545,51.609442995662526,0101000020E61000006227648473201C40CB92633A02CE4940,0103000020E610000001000000070000003C80EAC48A1F1C408A8FB8490CCE4940DE5BEC5113201C40B58FBDBBF0CD4940260406A458211C40CE6F6280FACD49403F13AB50EE201C40E9B2128612CE49405874EB353D201C4099F5BA7D0CCE49400F4E9F7829201C40F8DCCD3010CE49403C80EAC48A1F1C408A8FB8490CCE4940,220000,substation,transmission,w38584673,http://www.osm.org/way/38584673,NA,Station Bellendorf,NA,RWE,no,2
30928,7.417051340500602,51.457221874784416,0101000020E6100000EBCFB0810FAB1D40819B133F86BA4940,0103000020E610000001000000240000000F98874CF9A81D401D6DA7EB9ABA4940F54311F7FDA81D4067C380BE99BA4940CEFFAB8E1CA91D408EF9944682BA4940C63D963E74A91D40FA7AF4C484BA4940DD58501894A91D4001C1E6B57EBA49402F0A16E2ECA91D40A32DC8D46EBA4940044015376EA91D409C91B68A6ABA494075B4BB5175A91D40E5E78F5D69BA494078126CB7B8A91D40F8C01AA55CBA4940C247C49448AA1D40851EFC5D44BA4940819B2045F8AA1D408A5EE95F48BA49405151AB9E82AA1D40263F7F295EBA4940523EF3284BAB1D407EE720DC64BA49406B43C5387FAB1D40F287149C66BA49407A29E1AE03AC1D40C56C88D46ABA4940A0A476757DAD1D40AA18450378BA4940AC9C514E0FAD1D40F32ECA608CBA494069A68CC92CAC1D40F4107E31B6BA4940A2337A7FCDAB1D40A5F080F0B2BA494052D55F0A6AAB1D401B699AFFB2BA4940A92160634DAB1D405AE25E8DB3BA4940FF6A69C93EAB1D40749AF61CB3BA49401785138722AB1D40BA8E7334B3BA4940E6DF1DCF1DAB1D40E0AC0DF8B2BA4940EACF23EB15AB1D40AADBCA9AB3BA4940D828EB3713AB1D4097FA0FDDB3BA494076CE05E401AB1D4094E1B30EB3BA494057D636C5E3AA1D40A60A263CB2BA494072981E0368AA1D40635663A2ADBA4940D6E4CEF176A91D40DCA526FFA4BA4940078DBB9C6DA91D40ECF7BB5AA4BA49404C21904B1CA91D40FC8F43A79DBA49405781107F03A91D40B1C4E9BD9DBA494091E634B0FAA81D4033A93D749CBA4940801F1F3EFAA81D40F80656B89BBA49400F98874CF9A81D401D6DA7EB9ABA4940,380000;220000;110000,substation,transmission,w22964137,http://www.osm.org/way/22964137,50,Station Kruckel,NA,Amprion;Westnetz,no,2
30930,13.5061273352059,52.473825606560844,0101000020E610000056A4401F23032B40D5174651A63C4A40,0103000020E61000000100000015000000A53C049F30022B4063579E2D8C3C4A402FA292DF47022B4010958AB38E3C4A40A883BC1E4C022B405C1E65A08D3C4A404FFFFE3971022B40C8C2AFD9913C4A40D55A988576022B403E9D25A4903C4A40E8825550AC022B401D7C4A60843C4A402E292D12C9022B402C42E4D07D3C4A40E9D7310972032B40450471558F3C4A40EF2202C413042B40348F0748A03C4A4031F5A91908042B40375A7433A33C4A405076E91505042B4083393BF5A33C4A40CBDD9D6B4E042B40C1AE8C8EAB3C4A403BBBC678DE032B4034B75E0AC53C4A40F8AE528BD2032B402645ECEFC73C4A405FB87361A4032B405AA69D2CC63C4A40746F8FEF9C032B40047B7982C43C4A4053D9661998032B406E45D9EDC43C4A40268117C792032B40E4472969C53C4A40FB276ECB36022B405A4881E1B73C4A402C50E67A36022B40C9101CCEB23C4A40A53C049F30022B4063579E2D8C3C4A40,220000;110000,substation,transmission,w22973052,http://www.osm.org/way/22973052,50,Umspannwerk Wuhlheide,Wul,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,no,2
30931,13.524113150563279,52.53579367759632,0101000020E61000004725128F580C2B40025721E394444A40,0103000020E6100000010000001000000025416E75EF0B2B405A5F172197444A40F19881CAF80B2B408D93FFB693444A40D3540559050C2B4060AB41858F444A4063A593B6020C2B409D3EAB5E8F444A409B3D867DF10B2B40F6FA86658E444A40F9E52730F80B2B4000F72FEC8B444A40D40451F7010C2B4094053F4D88444A40BCD0B760040C2B402F88854787444A404B3B35971B0C2B40E15ACFA288444A407B56E3B6C70C2B40E2ABFF0593444A407E062F55C40C2B409883385794444A4033AE13F29C0C2B40E0E93E92A3444A407458E1968F0C2B40B36BDA0DA2444A40170BE82A820C2B400DD180C2A0444A40E113460E6C0C2B4036FA41EF9E444A4025416E75EF0B2B405A5F172197444A40,380000,substation,transmission,w22973070,http://www.osm.org/way/22973070,NA,Umspannwerk Marzahn,MZA9,50Hertz Transmission GmbH,no,2
30934,7.023309809364244,51.625703743245474,0101000020E6100000EA94D386DE171C40AF1C6D0F17D04940,0103000020E610000001000000120000006D0C4B4DCC141C40E9B5A260D7CF494074498BE9F8161C4033EAA671CACF494044262A6563171C40F8787862E7CF49400C5872158B171C40F13F3FD5E8CF4940FA3DB14E95171C402E729570E8CF494042870A1F5B181C40264C4DBAE3CF4940ABA63517C9181C400BF9B86E00D04940C90B9F63F6181C400D77B2780CD04940812A244F48191C40300D415722D04940038F1436A81A1C4023BB78771AD04940CD91955F061B1C407AFC348133D0494032C4B12E6E1B1C40D9F9DF934ED0494097A36C36FB181C401E7A8B1A5DD04940B4684B6771181C406079638A39D049400206932C71161C4042F8561245D04940F583150214161C409AB83F052CD04940B137E7960C161C40AB7120122AD049406D0C4B4DCC141C40E9B5A260D7CF4940,380000,substation,transmission,w23022100,http://www.osm.org/way/23022100,50,Station Polsum,NA,Amprion,no,2
30941,7.123239074232188,51.52561159658865,0101000020E610000090AA4562327E1C4090DFA43D47C34940,0103000020E61000000100000008000000DFC38080107C1C40796D0B4059C3494097874CF9107C1C4021CC1D0258C349405A153CE0157C1C406B2E34374BC34940FFBC5FBB6A7C1C405E2FE42730C34940B5BC72BD6D7E1C4002202A4833C3494032C3EB9F4C801C409C814A0636C34940BB44509033801C400CABA8C65CC34940DFC38080107C1C40796D0B4059C34940,380000;110000,substation,transmission,w23067006,http://www.osm.org/way/23067006,50,Station Hüllen,NA,RWE,no,2
30944,6.2218319069374735,51.694642278013696,0101000020E6100000E70546E727E318406F3EC509EAD84940,0103000020E610000001000000070000004619BB8E82E11840D2FF4FC4D8D849400BA4D5DA45E218406CF227DFD8D84940C010830A58E4184076BBCF4BD6D84940A51CDD5218E5184080032048EFD849403DB2B96A9EE31840E0E57689FBD84940C6F9F609FBE1184024AD5D7E02D949404619BB8E82E11840D2FF4FC4D8D84940,220000;110000,substation,transmission,w23084417,http://www.osm.org/way/23084417,NA,Station Pfalzdorf,NA,Amprion;Westnetz,no,2
30946,6.804590290688168,50.9662510998506,0101000020E610000040BD6484E6371B408BCAB41DAE7B4940,0103000020E61000000100000020000000400D840948301B40CE40DCA8BA7B49401EED24C742311B40AAF9B9197F7B49404F919E7D40331B40761AA85F8E7B49408C587A23A9331B40B252D0657B7B494010D20957F6331B40574316867E7B4940E1C6777302341B406F7177A97D7B494007DA2E7E64341B409BE8C1B0687B4940A13C98B965341B4066A7ED32687B4940ACF58FCF75331B4064A1823B617B4940AA1B94D519341B4075531647407B49404FA555E35B361B40BE5B663F527B4940F3BCC05197391B40E8AC9AA96B7B494038EC08F192391B404EFC418B6C7B49406731676C9E391B401ACFDAE56C7B4940379666A9AB391B402F9BDF4D6D7B4940F3661E0AB0391B40CB4B386C6C7B49404229102CFD3A1B407370FBA7767B4940D2C155F9F93A1B40FBDD3C4D777B49407B8B3D6A023B1B40E8FC818F777B4940DB18F1530B3B1B40BCD9F8D5777B49404C80AB860E3B1B409FACE02F777B4940BBAA58A1ED3D1B40102725C68D7B494071D0B936AF3D1B401AC369949A7B49400D90C3BBB73D1B4023247DD29A7B4940FD0571D4C03D1B40A20299159B7B49400E54D7EB273D1B402B574AFDBC7B49409B114A044F3E1B40B4D82BFFC67B494064117981483D1B40E17FE5CAFB7B49404B5C7D2BC83D1B407774B5E8097C4940B7BDEEBE743C1B402C2C44FF157C4940DAC46E449C331B4032ED89DCD37B4940400D840948301B40CE40DCA8BA7B4940,380000;220000;110000,substation,transmission,w23084554,http://www.osm.org/way/23084554,NA,Umspannanlage Brauweiler,NA,RWE,no,2
